ID;en-de;de-de;tr-de;en-nz;en-es;es-es;en-it;it-it;..;..;..;..;..;..
602071;Only UMTS connection;Nur UMTS Verbindung;Sadece 3G bağlantısı;Only UMTS connection;Only UMTS connection;Sólo conexión UMTS;Only UMTS connection;;Nur UMTS Verbindung;Only UMTS connection;Sadece 3G bağlantısı;Nur UMTS Verbindung;Only UMTS connection;Only UMTS connection
602072;SHOWTIME;SHOWTIME;SHOWTIME;SHOWTIME;SHOWTIME;SHOWTIME;SHOWTIME;;SHOWTIME;SHOWTIME;SHOWTIME;SHOWTIME;SHOWTIME;SHOWTIME
602073;ADSL;ADSL;ADSL;ADSL;ADSL;ADSL;ADSL;;ADSL;ADSL;ADSL;ADSL;ADSL;ADSL
602074;RTX in use;RTX in Gebrauch;RTX;RTX in use;RTX in use;RTX en uso;RTX in use;;RTX in Gebrauch;RTX in use;RTX;RTX in Gebrauch;RTX in use;RTX in use
602075;oftware Download Serv;Nicht verbunden;Bağlı değil;Not Connected;Not Connected;No conectado;Not Connected;;Nicht verbunden;Not connected;Bağlı değil;Nicht verbunden;Not connected;Not connected
602076;G.992.1 (ADSL G.DMT);G.992.1 (ADSL G.DMT);G.992.1 (ADSL G.DMT);G.992.1 (ADSL G.DMT);G.992.1 (ADSL G.DMT);G.992.1 (ADSL G.DMT);G.992.1 (ADSL G.DMT);;G.992.1 (ADSL G.DMT);G.992.1 (ADSL G.DMT);G.992.1 (ADSL G.DMT);G.992.1 (ADSL G.DMT);G.992.1 (ADSL G.DMT);G.992.1 (ADSL G.DMT)
602077;G.992.2 (ADSL G.lite);G.992.2 (ADSL G.lite);G.992.2 (ADSL G.lite);G.992.2 (ADSL G.lite);G.992.2 (ADSL G.lite);G.992.2 (ADSL G.lite);G.992.2 (ADSL G.lite);;G.992.2 (ADSL G.lite);G.992.2 (ADSL G.lite);G.992.2 (ADSL G.lite);G.992.2 (ADSL G.lite);G.992.2 (ADSL G.lite);G.992.2 (ADSL G.lite)
602078;G.992.3 (ADSL G.DMT.bis);G.992.3 (ADSL G.DMT.bis);G.992.3 (ADSL G.DMT.bis);G.992.3 (ADSL G.DMT.bis);G.992.3 (ADSL G.DMT.bis);G.992.3 (ADSL G.DMT.bis);G.992.3 (ADSL G.DMT.bis);;G.992.3 (ADSL G.DMT.bis);G.992.3 (ADSL G.DMT.bis);G.992.3 (ADSL G.DMT.bis);G.992.3 (ADSL G.DMT.bis);G.992.3 (ADSL G.DMT.bis);G.992.3 (ADSL G.DMT.bis)
602079;G.992.3 (RE-ADSL);G.992.3 (RE-ADSL);G.992.3 (RE-ADSL);G.992.3 (RE-ADSL);G.992.3 (RE-ADSL);G.992.3 (RE-ADSL);G.992.3 (RE-ADSL);;G.992.3 (RE-ADSL);G.992.3 (RE-ADSL);G.992.3 (RE-ADSL);G.992.3 (RE-ADSL);G.992.3 (RE-ADSL);G.992.3 (RE-ADSL)
602080;G.992.5 (ADSL2+);G.992.5 (ADSL2+);G.992.5 (ADSL2+);G.992.5 (ADSL2+);G.992.5 (ADSL2+);G.992.5 (ADSL2+);G.992.5 (ADSL2+);;G.992.5 (ADSL2+);G.992.5 (ADSL2+);G.992.5 (ADSL2+);G.992.5 (ADSL2+);G.992.5 (ADSL2+);G.992.5 (ADSL2+)
602081;G.992.4 (ADSL4);G.992.4 (ADSL4);G.992.4 (ADSL4);G.992.4 (ADSL4);G.992.4 (ADSL4);G.992.4 (ADSL4);G.992.4 (ADSL4);;G.992.4 (ADSL4);G.992.4 (ADSL4);G.992.4 (ADSL4);G.992.4 (ADSL4);G.992.4 (ADSL4);G.992.4 (ADSL4)
602082;T1.413 (ADSL ANSI T1.413);T1.413 (ADSL ANSI T1.413);T1.413 (ADSL ANSI T1.413);T1.413 (ADSL ANSI T1.413);T1.413 (ADSL ANSI T1.413);T1.413 (ADSL ANSI T1.413);T1.413 (ADSL ANSI T1.413);;T1.413 (ADSL ANSI T1.413);T1.413 (ADSL ANSI T1.413);T1.413 (ADSL ANSI T1.413);T1.413 (ADSL ANSI T1.413);T1.413 (ADSL ANSI T1.413);T1.413 (ADSL ANSI T1.413)
602083;G.993.5 (VDSL);G.993.5 (VDSL);G.993.5 (VDSL);G.993.5 (VDSL);G.993.5 (VDSL);G.993.5 (VDSL);G.993.5 (VDSL);;G.993.5 (VDSL);G.993.5 (VDSL);G.993.5 (VDSL);G.993.5 (VDSL);G.993.5 (VDSL);G.993.5 (VDSL)
602084;Down;Down;Down;Down;Down;Down;Down;;Down;Down;Down;Down;Down;Down
602085;Data Consumption;Datenverbrauch;Veri tüketimi;Data Consumption;Data Consumption;Datos de consumo;Data Consumption;;Datenverbrauch;Data Consumption;Veri tüketimi;Datenverbrauch;Data Consumption;Data Consumption
602086;To obtain the current status of your data, please click the button.;Um den aktuellen Status Ihres verbrauchten Datenvolumens zu ermitteln, klicken Sie bitte hier.;Verilerinizin mevcut durumunu elde etmek için, düğmesine tıklayınız.;To obtain the current status of your data, please click the button.;To obtain the current status of your data, please click the button.;Para obtener el estado actual de sus datos, por favor haga clic en el botón.;To obtain the current status of your data, please click the button.;;Um den aktuellen Status Ihres verbrauchten Datenvolumens zu ermitteln, klicken Sie bitte hier.;To obtain the current status of your data, please click the button.;Verilerinizin mevcut durumunu elde etmek için, düğmesine tıklayınız.;Um den aktuellen Status Ihres verbrauchten Datenvolumens zu ermitteln, klicken Sie bitte hier.;To obtain the current status of your data, please click the button.;To obtain the current status of your data, please click the button.
602087;center.vodafone.de;center.vodafone.de;center.vodafone.de;center.vodafone.de;;;center.vodafone.de;;center.vodafone.de;center.vodafone.de;center.vodafone.de;center.vodafone.de;center.vodafone.de;center.vodafone.de
602088;Billing cycle;Abrechnungszyklus;Fatura dönemi;Billing cycle;Billing cycle;Ciclo de facturación;Billing cycle;;Abrechnungszyklus;Billing cycle;Fatura dönemi;Abrechnungszyklus;Billing cycle;Billing cycle
602089;Maximum data volume;Maximales Datenvolumen;Maksimum veri hacmi;Maximum data volume;Maximum data volume;Volumen máximo de datos;Maximum data volume;;Maximales Datenvolumen;Maximum data volume;Maksimum veri hacmi;Maximales Datenvolumen;Maximum data volume;Maximum data volume
602090;Consumed data volume;verbrauchtes Datenvolumen;Tüketilen veri hacmi;Consumed data volume;Consumed data volume;Volumen de datos consumidos;Consumed data volume;;verbrauchtes Datenvolumen;Consumed data volume;Tüketilen veri hacmi;verbrauchtes Datenvolumen;Consumed data volume;Consumed data volume
602091;To purchase additional data volume, please click the button.;Wenn Sie zusätzliches Datenvolumen kaufen möchten, klicken Sie bitte hier;Ek veri hacmi satın almak için, düğmesine tıklayınız.;To purchase additional data volume, please click the button.;To purchase additional data volume, please click the button.;Para adquirir volumen de datos adicional, por favor haga clic en el botón.;To purchase additional data volume, please click the button.;;Wenn Sie zusätzliches Datenvolumen kaufen möchten, klicken Sie bitte hier;To purchase additional data volume, please click the button.;Ek veri hacmi satın almak için, düğmesine tıklayınız.;Wenn Sie zusätzliches Datenvolumen kaufen möchten, klicken Sie bitte hier;To purchase additional data volume, please click the button.;To purchase additional data volume, please click the button.
602092;You have crossed your maximum data volume. Your internet speed has been reduced.;Sie haben das maximale Datenvolumen verbraucht. Ihre Datenrate wurde reduziert.;Maksimum veri hacmi geçti. Internet hızı düşürüldü.;You have crossed your maximum data volume. Your internet speed has been reduced.;You have crossed your maximum data volume. Your internet speed has been reduced.;Usted ha excedido su volumen de datos máximo. Su velocidad de Internet se ha reducido.;You have crossed your maximum data volume. Your internet speed has been reduced.;;Sie haben das maximale Datenvolumen verbraucht. Ihre Datenrate wurde reduziert.;You have crossed your maximum data volume. Your internet speed has been reduced.;Maksimum veri hacmi geçti. Internet hızı düşürüldü.;Sie haben das maximale Datenvolumen verbraucht. Ihre Datenrate wurde reduziert.;You have crossed your maximum data volume. Your internet speed has been reduced.;You have crossed your maximum data volume. Your internet speed has been reduced.
602093;Fibre Status Information;;;Fibre Status Information;Fibre Status Information;Información del estado de Fibra;Fibre Status Information;;;Fibre Status Information;;;Fibre Status Information;Fibre Status Information
602094;Fibre Status;;;Fibre Status;Fibre Status;Estado de Fibra;Fibre Status;;;Fibre Status;;;Fibre Status;Fibre Status
602095;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;Link Status
602096;Transmitted Frames;Transmitted Frames;Transmitted Frames;Transmitted Frames;Transmitted Frames;Transmitted Frames;Transmitted Frames;;Transmitted Frames;Transmitted Frames;Transmitted Frames;Transmitted Frames;Transmitted Frames;Transmitted Frames
602097;Received Frames;Received Frames;Received Frames;Received Frames;Received Frames;Received Frames;Received Frames;;Received Frames;Received Frames;Received Frames;Received Frames;Received Frames;Received Frames
602098;Frame Counter;Frame Counter;Frame Counter;Frame Counter;Frame Counter;Frame Counter;Frame Counter;;Frame Counter;Frame Counter;Frame Counter;Frame Counter;Frame Counter;Frame Counter
602099;The request to obtain data consumption information failed. You're not using the LTE network. ;Ihre Anfrage zur Anzeige des verbrauchten Datenvolumens ist fehlgeschlagen. Sie nutzen kein LTE-Netz.;"
Veri tüketim bilgi alınamıyor. 4G şebekesini kullanmıyorsunuz.";The request to obtain data consumption information failed. You're not using the LTE network. ;NA;NA;The request to obtain data consumption information failed. You're not using the LTE network. ;;Ihre Anfrage zur Anzeige des verbrauchten Datenvolumens ist fehlgeschlagen. Sie nutzen kein LTE-Netz.;The request to obtain data consumption information failed. You're not using the LTE network. ;"
Veri tüketim bilgi alınamıyor. 4G şebekesini kullanmıyorsunuz.";Ihre Anfrage zur Anzeige des verbrauchten Datenvolumens ist fehlgeschlagen. Sie nutzen kein LTE-Netz.;The request to obtain data consumption information failed. You're not using the LTE network. ;The request to obtain data consumption information failed. You're not using the LTE network. 
602100;The request to obtain data consumption information failed. You're not using the UMTS network. ;Ihre Anfrage zur Anzeige des verbrauchten Datenvolumens ist fehlgeschlagen. Sie nutzen kein UMTS-Netz.;"
Veri tüketim bilgi alınamıyor. 3G şebekesini kullanmıyorsunuz.";The request to obtain data consumption information failed. You're not using the UMTS network. ;NA;NA;The request to obtain data consumption information failed. You're not using the UMTS network. ;;Ihre Anfrage zur Anzeige des verbrauchten Datenvolumens ist fehlgeschlagen. Sie nutzen kein UMTS-Netz.;The request to obtain data consumption information failed. You're not using the UMTS network. ;"
Veri tüketim bilgi alınamıyor. 3G şebekesini kullanmıyorsunuz.";Ihre Anfrage zur Anzeige des verbrauchten Datenvolumens ist fehlgeschlagen. Sie nutzen kein UMTS-Netz.;The request to obtain data consumption information failed. You're not using the UMTS network. ;The request to obtain data consumption information failed. You're not using the UMTS network. 
602101;The request to obtain data consumption information failed. Please try again later. ;Ihre Anfrage zur Anzeige des verbrauchten Datenvolumens ist fehlgeschlagen. Bitte versuchen Sie es später nochmal.;"
Veri tüketim bilgi alınamıyor. Lütfen sonra tekrar deneyiniz.";The request to obtain data consumption information failed. Please try again later. ;NA;NA;The request to obtain data consumption information failed. Please try again later. ;;Ihre Anfrage zur Anzeige des verbrauchten Datenvolumens ist fehlgeschlagen. Bitte versuchen Sie es später nochmal.;The request to obtain data consumption information failed. Please try again later. ;"
Veri tüketim bilgi alınamıyor. Lütfen sonra tekrar deneyiniz.";Ihre Anfrage zur Anzeige des verbrauchten Datenvolumens ist fehlgeschlagen. Bitte versuchen Sie es später nochmal.;The request to obtain data consumption information failed. Please try again later. ;The request to obtain data consumption information failed. Please try again later. 
602102;NA;NA;NA;NA;Network Operator;Operador de red;NA;;NA;NA;NA;NA;NA;Modem in Showtime
602103;NA;NA;NA;NA;Signal Strength;Intensidad de señal;NA;;NA;NA;NA;NA;NA;Downstream
602104;NA;NA;NA;NA;SNR;SNR;NA;;NA;NA;NA;NA;NA;Upstream
602105;NA;NA;NA;NA;Power;Power;NA;;NA;NA;NA;NA;NA;Cell Counter
602106;NA;NA;NA;NA;Connection Time;Tiempo de conexión;NA;;NA;NA;NA;NA;NA;Transmitted Cells
602107;NA;NA;NA;NA;TX Speed;Velocidad de transmisión;NA;;NA;NA;NA;NA;NA;Received Cells
602108;NA;NA;NA;NA;RX Speed;Velocidad de redcepción;NA;;NA;NA;NA;NA;NA;Status
602109;NA;NA;NA;NA;IP Address;Dirección IP;NA;;NA;NA;NA;NA;NA;UP
602110;NA;NA;NA;NA;DNS;DNS;NA;;NA;NA;NA;NA;NA;Update Interval
602111;NA;NA;NA;NA;Manufacturer;Fabricante;NA;;NA;NA;NA;NA;NA;seconds
602112;NA;NA;NA;NA;Model;Modelo;NA;;NA;NA;NA;NA;NA;Date/Time
602113;NA;NA;NA;NA;IMEI;IMEI;NA;;NA;NA;NA;NA;NA;ISDN Interfaces
602114;NA;NA;NA;NA;Firmware Version;Versión de Firmware;NA;;NA;NA;NA;NA;NA;not active
602115;NA;NA;NA;NA;Status;Estado;NA;;NA;NA;NA;NA;NA;active
602116;NA;NA;NA;NA;IMSI;IMSI;NA;;NA;NA;NA;NA;NA;NA
602117;NA;NA;NA;NA;PIN Status;Estado PIN;NA;;NA;NA;NA;NA;NA;NA
602118;NA;NA;NA;NA;PIN Enabled;PIN habilitado;NA;;NA;NA;NA;NA;NA;NA
602119;NA;NA;NA;NA;PIN Status;Estado PIN;NA;;NA;NA;NA;NA;NA;NA
602120;NA;NA;NA;NA;PIN Correct;PIN correcto;NA;;NA;NA;NA;NA;NA;NA
602121;NA;NA;NA;NA;Awaiting PIN;Introduzca el PIN;NA;;NA;NA;NA;NA;NA;NA
602122;NA;NA;NA;NA;PIN Disabled;PIN deshabilitado;NA;;NA;NA;NA;NA;NA;NA
602123;NA;NA;NA;NA;SIM Blocked. Awaiting PUK;SIM bloqueada. Introduzca el PUK;NA;;NA;NA;NA;NA;NA;NA
602124;NA;NA;NA;NA;SIM Permanently Blocked;SIM permanentemente bloqueada;NA;;NA;NA;NA;NA;NA;NA
602125;NA;NA;NA;NA;SIM Card Not Present;No hay tarjeta SIM;NA;;NA;NA;NA;NA;NA;NA
602126;NA;NA;NA;NA;SIM Card Invalid;Tarjeta SIM inválida;NA;;NA;NA;NA;NA;NA;NA
602127;DSL Connection;DSL-Verbindung;DSL bağlantısı;NA;NA;NA;NA;NA;DSL-Verbindung;DSL Connection;DSL bağlantısı;DSL-Verbindung;DSL Connection;DSL Connection
602128;active;aktiv;aktif;NA;NA;NA;NA;NA;aktiv;active;aktif;aktiv;active;active
602129;Reconnect;Neu verbinden;Tekrar bağlan;NA;NA;NA;NA;NA;Neu verbinden;Reconnect;Tekrar bağlan;Neu verbinden;Reconnect;Reconnect
602130;NA;NA;NA;NA;Status;Estado;NA;NA;NA;NA;NA;NA;NA;NA
602131;NA;NA;NA;NA;MaxBitRate;MaxBitRate;NA;NA;NA;NA;NA;NA;NA;NA
602132;NA;NA;NA;NA;DuplexMode;DuplexMode;NA;NA;NA;NA;NA;NA;NA;NA
602133;NA;NA;NA;NA;Half;Half;NA;NA;NA;NA;NA;NA;NA;NA
602134;NA;NA;NA;NA;Full;Full;NA;NA;NA;NA;NA;NA;NA;NA
602135;NA;NA;NA;NA;Up;Up;NA;NA;NA;NA;NA;NA;NA;NA
602136;NA;NA;NA;NA;Down;Down;NA;NA;NA;NA;NA;NA;NA;NA
602137;NA;NA;NA;NA;Statistics;Estadísticas;;;NA;NA;NA;NA;NA;NA
602138;NA;NA;NA;NA;Tx;Tx;;;NA;NA;NA;NA;NA;NA
602139;NA;NA;NA;NA;pkts;pkts;;;NA;NA;NA;NA;NA;NA
602140;NA;NA;NA;NA;byte;byte;;;NA;NA;NA;NA;NA;NA
602141;NA;NA;NA;NA;error;error;;;NA;NA;NA;NA;NA;NA
602142;NA;NA;NA;NA;Discard;Discard;;;NA;NA;NA;NA;NA;NA
602143;NA;NA;NA;NA;Rx;Rx;;;NA;NA;NA;NA;NA;NA
602144;NA;NA;NA;NA;pkts;pkts;;;NA;NA;NA;NA;NA;NA
602145;NA;NA;NA;NA;bytes;bytes;;;NA;NA;NA;NA;NA;NA
602146;NA;NA;NA;NA;error;error;;;NA;NA;NA;NA;NA;NA
602147;NA;NA;NA;NA;Discard;Discard;;;NA;NA;NA;NA;NA;NA
602148;NA;NA;NA;NA;NA;NA;NA;NA;Auf dieser Statusseite werden wichtige technische Parameter der DSL-Verbindung angezeigt.;This status page shows technical parameters of your DSL connection.;Bu sayfada DSL bağlantının durumunu öğrenebilirsiniz.;Auf dieser Statusseite werden wichtige technische Parameter der DSL-Verbindung angezeigt.;This status page shows technical parameters of your DSL connection.;This status page shows technical parameters of your DSL connection.
603001;Voice Status;Telefonie Status;Telefon durumu;Voice Status;Voice Status;Estado de voz;Voice Status;Stato Servizi Voce;Telefon-Status;Voice Status;Telefon durumu;Telefon-Status;Voice Status;Voice Status
603002;Here you find the overview of your active phone numbers. For any configurations you would like to make, please go to the Phone menu.;Hier sehen Sie einen Überblick über Ihre aktiven Rufnummern. Zur Änderung Ihrer Telefoneinstellungen gehen Sie bitte in das Menu Sprache.;Burada etkin telefon numaralarınıza ilişkin bir genel bakış mevcuttur. Telefon ayarlarınızı değiştirmek için lütfen Konuşma menüsüne giriniz.;Here you find the overview of your active phone numbers. For any configurations you would like to make, please go to the Phone menu.;Here you find the overview of your active phone numbers. For any configurations you would like to make, please go to the Phone menu.;Aquí encontrará la descripción de sus números de teléfono activos. Para cualquier configuración vaya al menú Teléfono.;Here you find the overview of your active phone numbers. For any configurations you would like to make, please go to the Phone menu.;;Auf dieser Statusseite bekommen Sie einen Überblick über Ihre aktiven Rufnummern und Telefonanschlüsse. Zur Änderung Ihrer Telefoneinstellungen gehen Sie bitte in das Menü Telefon.;Here you find an overview of your active phone numbers. For any change you would like to make to the current section, please visit Phone menu.;Burada etkin telefon numaralarınıza ilişkin bir genel bakış mevcuttur. Telefon ayarlarınızı değiştirmek için lütfen Konuşma menüsüne giriniz.;Auf dieser Statusseite bekommen Sie einen Überblick über Ihre aktiven Rufnummern und Telefonanschlüsse. Zur Änderung Ihrer Telefoneinstellungen gehen Sie bitte in das Menü Telefon.;Here you find an overview of your active phone numbers. For any change you would like to make to the current section, please visit Phone menu.;Here you find an overview of your active phone numbers. For any change you would like to make to the current section, please visit Phone menu.
603003;Phone Number Status;Status Rufnummer;Telefon numarası durumu;Phone Number Status;Phone Number Status;Estado de número de teléfono;Phone Number Status;;Ihre Rufnummer(n);Your Phone Numbers;Telefon numaranız;Ihre Rufnummer(n);Your Phone Numbers;Your Phone Numbers
603004;Phone Number;Rufnummer;Telefon numarası;Phone Number;Phone Number;Número de teléfono;Phone Number;Numero di telefono;Rufnummer;Phone Number;Telefon numarası;Rufnummer;Phone Number;Phone Number
603005;Name;Name;İsim;Name;Name;Nombre;Name;Nome;Rufnummername;Name;Numara isim;Rufnummername;Name;Name
603006;Status;Status;Durum;Status;Status;Estado;Status;Stato;Status;Status;Durum;Status;Status;Status
603007;Active;Aktiv;Etkin;Active;Active;Activo;Active;Attivo;Aktiv;Active;Etkin;Aktiv;Active;Active
603008;Fail;Fehlerhaft;Hatalı;Fail;Fail;Fallo;Fail;Non attivo;Fehlerhaft;Inactive;Hatalı;Fehlerhaft;Inactive;Inactive
603009;TEL 1;Tel 1;Tel 1;TEL 1;TEL 1;TEL 1;TEL 1;;Tel 1;TEL 1;TEL 1;Tel 1;TEL 1;TEL 1
603010;TEL 2;Tel 2;Tel 2;TEL 2;TEL 2;TEL 2;TEL 2;;Tel 2;TEL 2;TEL 2;Tel 2;TEL 2;TEL 2
603011;NA;NA;NA;NA;Connection Through;Conexión a través de;NA;;NA;NA;NA;NA;NA;NA
603012;NA;NA;NA;NA;ADSL;ADSL;NA;;NA;NA;NA;NA;NA;NA
603013;NA;NA;NA;NA;Line;Línea;NA;;NA;NA;NA;NA;NA;NA
603014;NA;NA;NA;NA;On hook;Colgado;NA;;NA;NA;NA;NA;NA;NA
603015;NA;NA;NA;NA;Off hook;Descolgado;NA;;NA;NA;NA;NA;NA;NA
603016;SIP Client Status;SIP Client Status;SIP İstemci Durumu;NA;NA;NA;NA;;SIP Client Status;SIP Client Status;SIP İstemci Durumu;SIP Client Status;SIP Client Status;SIP Client Status
603017;NA;NA;NA;NA;On;Activo;NA;;NA;NA;NA;NA;NA;NA
603018;NA;NA;NA;NA;Off;No activo;NA;;NA;NA;NA;NA;NA;NA
603019;NA;NA;NA;NA;Service Status;Estado;NA;;NA;NA;NA;NA;NA;NA
603020;NA;NA;NA;NA;ON (VoIP);Activo (VoIP);NA;;NA;NA;NA;NA;NA;NA
603021;NA;NA;NA;NA;NA;NA;NA;NA;Telefonanschlüsse;Phone Connections;Telefon Bağlantıları;Telefonanschlüsse;Phone Connections;Phone Connections
603022;NA;NA;NA;NA;NA;NA;NA;NA;Anschluss;Connection;Bağlantı;Anschluss;Connection;Connection
603023;NA;NA;NA;NA;NA;NA;NA;NA;Status;Status;Durum;Status;Status;Status
603024;NA;NA;NA;NA;NA;NA;NA;NA;angeschlossen;connected;Bağlı;angeschlossen;connected;connected
603025;NA;NA;NA;NA;NA;NA;NA;NA;nicht angeschlossen;disconnected;Kesildi;nicht angeschlossen;disconnected;disconnected
603026;NA;NA;NA;NA;NA;NA;NA;NA;Telefonstatus;Phone Status;Telefon durumu;Telefonstatus;Phone Status;Phone Status
603027;NA;NA;NA;NA;NA;NA;NA;NA;Registriert;Registered;Kayıtlı;NA;NA;Registered
603028;NA;NA;NA;NA;NA;NA;NA;NA;Nicht registriert;Unregistered;Kayıtlı deği;NA;NA;Unregistered
604001;Diagnostic Utility;Diagnose-Tool;Teşhis aracı;Diagnostic Utility;Diagnostic Utility;Utilidad de diagnóstico;Diagnostic Utility;;Diagnose-Programme;Diagnostic Utility;Teşhis aracı;Diagnose-Programme;Diagnostic Utility;Diagnostic Utility
604002;These tools allow you to test your network's connection status.;Mit diesem Diagnoseprogramm können Sie den Status Ihrer Netzwerkverbindung prüfen. ;Bu teşhis programı ile, ağ bağlantınızın durumunu kontrol edebilirsiniz. ;These tools allow you to test your network's connection status.;These tools allow you to test your network's connection status.;Estas herramientas le permiten comprobar el estado de conexión de la red.;These tools allow you to test your network's connection status.;;Mit diesen Diagnose-Programmen können Sie den Status Ihrer Netzwerkverbindung prüfen. ;This section shows a list of tools which can be used to check the status of your network connection.;Bu teşhis programı ile, ağ bağlantınızın durumunu kontrol edebilirsiniz. ;Mit diesen Diagnose-Programmen können Sie den Status Ihrer Netzwerkverbindung prüfen. ;This section shows a list of tools which can be used to check the status of your network connection.;This section shows a list of tools which can be used to check the status of your network connection.
604003;Automated Diagnosis;Automatische Diagnose;Otomatik teşhis;Automated Diagnosis;Automated Diagnosis;Diagnóstico Automático;Automated Diagnosis;;Automatische Diagnose;Automated Diagnosis;Otomatik teşhis;Automatische Diagnose;Automated Diagnosis;Automated Diagnosis
604004;This diagnosis should take up to 2 minutes and cannot be cancelled once it has been started.;Diese Diagnose dauert bis zu 2 Minuten und kann nicht mehr unterbrochen werden, wenn gestartet.;Bu teşhis işlemi 2 dakikaya kadar sürebilir ve bir kez başlatıldıktan sonra artık iptal edilemez.;This diagnosis should take up to 2 minutes and cannot be cancelled once it has been started.;This diagnosis should take up to 2 minutes and cannot be cancelled once it has been started.;Este diagnóstico puede tardar unos 2 minutos y no se puede cancelar una vez que se ha iniciado.;This diagnosis should take up to 2 minutes and cannot be cancelled once it has been started.;;Diese Diagnose dauert bis zu 2 Minuten und kann nicht mehr unterbrochen werden, wenn gestartet.;This diagnosis should take up to 2 minutes and cannot be cancelled once it has been started.;Bu teşhis işlemi 2 dakikaya kadar sürebilir ve bir kez başlatıldıktan sonra artık iptal edilemez.;Diese Diagnose dauert bis zu 2 Minuten und kann nicht mehr unterbrochen werden, wenn gestartet.;This diagnosis should take up to 2 minutes and cannot be cancelled once it has been started.;This diagnosis should take up to 2 minutes and cannot be cancelled once it has been started.
604005;Diagnose;Diagnose;Teşhis;Diagnose;Diagnose;Diagnosticar;Diagnose;;Diagnose;Diagnose;Teşhis;Diagnose;Diagnose;Diagnose
604006;Diagnosis in Progress;Diagnose wird durchgeführt;Teşhis gerçekleştiriliyor;Diagnosis in Progress;Diagnosis in Progress;Diagnóstico en proceso;Diagnosis in Progress;;Diagnose wird durchgeführt;Diagnosis in Progress;Teşhis gerçekleştiriliyor;Diagnose wird durchgeführt;Diagnosis in Progress;Diagnosis in Progress
604007;Diagnosis Complete;Diagnose abgeschlossen;Teşhis tamamlandı;Diagnosis Complete;Diagnosis Complete;Diagnóstico completo;Diagnosis Complete;;Diagnose abgeschlossen;Diagnosis Completed;Teşhis tamamlandı;Diagnose abgeschlossen;Diagnosis Completed;Diagnosis Completed
604008;Your EasyBox detected the following issue(s).;Folgende Fehler bzw. Informationen liegen vor:;Aşağıdaki hatalar tespit edildi;Your EasyBox detected the following issue(s).;Your router detected the following issue(s).;Su router detectó el siguiente problema (s).;Your EasyBox detected the following issue(s).;;Folgende Fehler bzw. Informationen liegen vor:;Your EasyBox detected the following issue(s).;Aşağıdaki hatalar tespit edildi;Folgende Fehler bzw. Informationen liegen vor:;Your EasyBox detected the following issue(s).;Your PlusBox detected the following issue(s).
604009;Please note these error codes, as they can help Customer Care to assist you.;Bitte notieren Sie die Fehlercodes und teilen sie unseren Kundenbetreuern zur schnellen Analyse mit;Lütfen hata kodlarını not ediniz ve bu bilgileri hızlı bir analiz yapabilmeleri için müşteri temsilcilerimize bildiriniz.;Please note these error codes, as they can help Customer Care to assist you.;Please note these error codes, as they can help Customer Care to assist you.;Tenga en cuenta estos códigos de error, ya que pueden ser de ayuda para  Atención al cliente.;Please note these error codes, as they can help Customer Care to assist you.;;Bitte notieren Sie die Fehlercodes und teilen sie unseren Kundenbetreuern zur schnellen Analyse mit;Please take note of these error codes, as they can help Customer Care to troubleshoot network issues.;Lütfen hata kodlarını not ediniz ve bu bilgileri hızlı bir analiz yapabilmeleri için müşteri temsilcilerimize bildiriniz.;Bitte notieren Sie die Fehlercodes und teilen sie unseren Kundenbetreuern zur schnellen Analyse mit;Please take note of these error codes, as they can help Customer Care to troubleshoot network issues.;Please take note of these error codes, as they can help Customer Care to troubleshoot network issues.
604010;Error Code;Fehlercode;Hata kodu;Error Code;Error Code;Código de error;Error Code;;Fehlercode;Error Code;Hata kodu;Fehlercode;Error Code;Error Code
604011;Diagnosis Complete;Diagnose abgeschlossen;Teşhis tamamlandı;Diagnosis Complete;Diagnosis Complete;Diagnóstico completo;Diagnosis Complete;;Diagnose abgeschlossen;Diagnosis Complete;Teşhis tamamlandı;Diagnose abgeschlossen;Diagnosis Complete;Diagnosis Complete
604012;Your EasyBox detected no issues.;Es wurden keine Fehler gefunden;Herhangi bir hata bulunmadı.;Your EasyBox detected no issues.;Your router detected no issues.;Su router no ha detectado ningún problema.;Your EasyBox detected no issues.;;Es wurden keine Fehler gefunden;Your EasyBox detected no issues.;Herhangi bir hata bulunmadı.;Es wurden keine Fehler gefunden;Your EasyBox detected no issues.;Your PlusBox detected no issues.
604013;Ping Test;Ping-Test;Ping testi;Ping Test;Ping Test;Ping Test;Ping Test;;Ping-Test;Ping Test;Ping testi;Ping-Test;Ping Test;Ping Test
