ID;en-de;de-de;tr-de;en-nz;en-es;es-es;en-it;it-it;..;..;..;..;..;..
504006;Folder Name;Ordner-Name;Klasör ismi;Folder Name;Folder Name;Nombre de la carpeta;Folder Name;;Ordner-Name;Folder Name;Klasör ismi;Ordner-Name;Folder Name;Folder Name
504007;Folder Path;Ordner-Pfad;Klasör yolu;Folder Path;Folder Path;Ruta de la carpeta;Folder Path;;Ordner-Pfad;Folder Path;Klasör yolu;Ordner-Pfad;Folder Path;Folder Path
504008;Select Folder to Share;Ordner auswählen;Klasör seç;Select Folder to Share;Select Folder to Share;Seleccionar la carpeta a compartir;Select Folder to Share;;Ordner auswählen;Select Folder to Share;Klasör seç;Ordner auswählen;Select Folder to Share;Select Folder to Share
504009;Back;zurück;Geri;Back;Back;Atrás;Back;;zurück;Back;Geri;zurück;Back;Back
504010;No folders found;keine Ordner;Klasör yok;No folders found;No folders found;No se encontraron carpetas;No folders found;;keine Ordner;No folders found;Klasör yok;keine Ordner;No folders found;No folders found
504011;Folder Name to Display;Angezeigter Ordner-Name;Gösterilen klasör adı;Folder Name to Display;Folder Name to Display;Nombre de la carpeta a mostrar;Folder Name to Display;;Angezeigter Ordner-Name;Folder Name to Display;Gösterilen klasör adı;Angezeigter Ordner-Name;Folder Name to Display;Folder Name to Display
504012;Please choose another folder name, this name is already in use.;Bitte wählen Sie einen anderen Ordner-Namen, dieser wird bereits verwendet.;Lütfen başka bir klasör ismi seçiniz, verdiğiniz isim kullanmaktadır.;Please choose another folder name, this name is already in use.;Please choose another folder name, this name is already in use.;Por favor elija otro nombre de la carpeta, el nombre ya está en uso.;Please choose another folder name, this name is already in use.;;Bitte wählen Sie einen anderen Ordner-Namen, dieser wird bereits verwendet.;Please choose another folder name, this name is already in use.;Lütfen başka bir klasör ismi seçiniz, verdiğiniz isim kullanmaktadır.;Bitte wählen Sie einen anderen Ordner-Namen, dieser wird bereits verwendet.;Please choose another folder name, this name is already in use.;Please choose another folder name, this name is already in use.
504013;Folder cannot be found;Ordner kann nicht gefunden werden;Klasör bulunamadı;Folder cannot be found;Folder cannot be found;La carpeta no se puede encontrar;Folder cannot be found;;Ordner kann nicht gefunden werden;Folder cannot be found;Klasör bulunamadı;Ordner kann nicht gefunden werden;Folder cannot be found;Folder cannot be found
504014;"Please provide at least one folder to share or choose ""Share all folders"" option";"Bitte wählen Sie mindestens einen Ordner, oder wählen die Option ""Alle Ordner teilen""";"En az bir klasör seçin veya ""Tüm klasörleri paylaş"" seçiniz.";"Please provide at least one folder to share or choose ""Share all folders"" option";"Please provide at least one folder to share or choose ""Share all folders"" option";"Seleccione una carpeta para compartir o elija ""compartir todos los archivos""";"Please provide at least one folder to share or choose ""Share all folders"" option";;"Bitte wählen Sie mindestens einen Ordner, oder wählen die Option ""Alle Ordner teilen""";"Please provide at least one folder to share or choose ""Share all folders"" option";"En az bir klasör seçin veya ""Tüm klasörleri paylaş"" seçiniz.";"Bitte wählen Sie mindestens einen Ordner, oder wählen die Option ""Alle Ordner teilen""";"Please provide at least one folder to share or choose ""Share all folders"" option";"Please provide at least one folder to share or choose ""Share all folders"" option"
504015;DLNA Digital Media Server Language;DLNA Digital Media Server Sprache;DLNA Digital Media Server dili;DLNA Digital Media Server Language;DLNA Digital Media Server Language;Idioma del DLNA Digital Media Server;DLNA Digital Media Server Language;;DLNA Digital Media Server;DLNA Digital Media Server Language;DLNA;DLNA Digital Media Server;DLNA Digital Media Server Language;DLNA Digital Media Server Language
504016;NA;NA;NA;NA;English;Inglés;NA;NA;NA;NA;NA;NA;NA;Check configuration details
504017;NA;NA;NA;NA;Spanish;Español;NA;NA;NA;NA;NA;NA;NA;Created on
505001;Content Sharing;Content Sharing;Ortak veri kullanımı;Content Sharing;Content Sharing;Compartir contenido;Content Sharing;;Content Sharing;Content Sharing;Ortak veri kullanımı;Content Sharing;Content Sharing;Content Sharing
505002;You can share the content from attached USB devices and make it accessible to other users on your local network.;Sie können die Inhalte von angeschlossenen USB-Geräten für gemeinsame Nutzung innerhalb Ihres Netzwerks freischalten;Bağlı olan USB cihazlarının içeriğini ağınız içinde ortak kullanım için erişime açabilirsiniz.;You can share the content from attached USB devices and make it accessible to other users on your local network.;You can share the content from attached USB devices and make it accessible to other users on your local network.;Puede compartir el contenido de los dispositivos USB conectados y hacerla accesible a otros usuarios de su red local.;You can share the content from attached USB devices and make it accessible to other users on your local network.;;Sie können die Inhalte von angeschlossenen USB-Geräten für gemeinsame Nutzung innerhalb Ihres Netzwerks freischalten;You can share the content from attached USB devices and make it accessible to other users on your local network.;Bağlı olan USB cihazlarının içeriğini ağınız içinde ortak kullanım için erişime açabilirsiniz.;Sie können die Inhalte von angeschlossenen USB-Geräten für gemeinsame Nutzung innerhalb Ihres Netzwerks freischalten;You can share the content from attached USB devices and make it accessible to other users on your local network.;You can share the content from attached USB devices and make it accessible to other users on your local network.
505003;Enable Content Sharing;Gemeinsame Datennutzung aktivieren;Ortak veri kullanımını etkinleştir;Enable Content Sharing;Enable Content Sharing;Habilitar el uso compartido de contenido;Enable Content Sharing;;Gemeinsame Datennutzung aktivieren;Enable Content Sharing;Ortak veri kullanımını etkinleştir;Gemeinsame Datennutzung aktivieren;Enable Content Sharing;Enable Content Sharing
505004;Enable Device for Content Sharing via Network Share;Gerät für gemeinsame Datennutzung über Netzwerk-Nutzung (Samba) aktivieren;Cihazı ortak veri kullanımı için etkinleştir;Enable Device for Content Sharing via Network Share;Enable Device for Content Sharing via Network Share;Habilitar el uso compartido de contenido;Enable Device for Content Sharing via Network Share;;Gerät für gemeinsame Datennutzung über Netzwerk-Nutzung (Samba) aktivieren;Enable Device for Content Sharing via Network Share;Cihazı ortak veri kullanımı için etkinleştir;Gerät für gemeinsame Datennutzung über Netzwerk-Nutzung (Samba) aktivieren;Enable Device for Content Sharing via Network Share;Enable Device for Content Sharing via Network Share
505005;Network Share (Samba);Netzwerk-Freigaben (Samba);Ağ kullanımı (Samba);Network Share (Samba);Network Share (Samba);Red compartida (Samba);Network Share (Samba);;Netzwerk-Freigaben (Samba);Network Share (Samba);Ağ kullanımı (Samba);Netzwerk-Freigaben (Samba);Network Share (Samba);Network Share (Samba)
505006;FTP;FTP;FTP;FTP;FTP;FTP;FTP;;FTP;FTP;FTP;FTP;FTP;FTP
505007;WebDAV;WebDAV;WebDAV;WebDAV;WebDAV;WebDAV;WebDAV;;WebDAV;WebDAV;WebDAV;WebDAV;WebDAV;WebDAV
505008;Server Name;Server-Name;Sunucu ismi;Server Name;Server Name;Nombre del servidor;Server Name;;Server-Name;Server Name;Sunucu ismi;Server-Name;Server Name;Server Name
505009;Require Username and Password;Benutzername und Kennwort erforderlich;Kullanıcı adı ve şifre gereklidir;Require Username and Password;Require Username and Password;Requiere nombre de usuario y contraseña;Require Username and Password;;Benutzername und Kennwort erforderlich;Require Username and Password;Kullanıcı adı ve şifre gereklidir;Benutzername und Kennwort erforderlich;Require Username and Password;Require Username and Password
505010;Username;Benutzername;Kullanıcı adı;Username;Username;Nombre de usuario;Username;;Benutzername;Username;Kullanıcı adı;Benutzername;Username;Username
505011;Current Password;Kennwort;Güncel şifre;Current Password;Current Password;Contraseña actual;Current Password;;Kennwort;Current Password;Güncel şifre;Kennwort;Current Password;Current Password
505012;FTP Address;FTP-Adresse;FTP adresi;FTP Address;FTP Address;Dirección FTP;FTP Address;;FTP-Adresse;FTP Address;FTP adresi;FTP-Adresse;FTP Address;FTP Address
505013;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"""Backup pre-reset Oct 2011 - new house"""
505014;Share via Internet;Über Internet teilen;İnternet üzerinden paylaş;Share via Internet;Share via Internet;Compartir a través de Internet;Share via Internet;;Über Internet teilen;Share via Internet;İnternet üzerinden paylaş;Über Internet teilen;Share via Internet;Share via Internet
505015;When you enable Share via Internet, a secure FTPS connnection is always used.;"Wenn Sie ""Über Internet teilen"" aktivieren, wird immer eine sichere FTPS-Verbindung genutzt.";"Eğer ""İnternet üzerinden paylaş""ı etkinleştirirseniz daima güvenli bir FTPS bağlantısı kullanılır.";When you enable Share via Internet, a secure FTPS connnection is always used.;When you enable Share via Internet, a secure FTPS connnection is always used.;Al habilitar Compartir a través de Internet, se utiliza siempre una conexión FTPS segura.;When you enable Share via Internet, a secure FTPS connnection is always used.;;"Wenn Sie ""Über Internet teilen"" aktivieren, wird immer eine sichere FTPS-Verbindung genutzt.";When you enable Share via Internet, a secure FTPS connnection is always used.;"Eğer ""İnternet üzerinden paylaş""ı etkinleştirirseniz daima güvenli bir FTPS bağlantısı kullanılır.";"Wenn Sie ""Über Internet teilen"" aktivieren, wird immer eine sichere FTPS-Verbindung genutzt.";When you enable Share via Internet, a secure FTPS connnection is always used.;When you enable Share via Internet, a secure FTPS connnection is always used.
505016;WebDAV Address;WebDAV Adresse;WebDAV adresi;WebDAV Address;WebDAV Address;Dirección WebDAV;WebDAV Address;;WebDAV Adresse;WebDAV Address;WebDAV adresi;WebDAV Adresse;WebDAV Address;WebDAV Address
505017;When you enable Share via Internet, a secure WebDAV connnection is always used.;"Wenn Sie ""Über Internet teilen"" aktivieren, wird immer eine sichere WebDAV-Verbindung genutzt.";"Eğer ""İnternet üzerinden paylaş""ı etkinleştirirseniz daima güvenli bir WebDAV bağlantısı kullanılır.";When you enable Share via Internet, a secure WebDAV connnection is always used.;When you enable Share via Internet, a secure WebDAV connnection is always used.;Al habilitar Compartir a través de Internet, se utiliza siempre una conexión WebDAV segura.;When you enable Share via Internet, a secure WebDAV connnection is always used.;;"Wenn Sie ""Über Internet teilen"" aktivieren, wird immer eine sichere WebDAV-Verbindung genutzt.";When you enable Share via Internet, a secure WebDAV connnection is always used.;"Eğer ""İnternet üzerinden paylaş""ı etkinleştirirseniz daima güvenli bir WebDAV bağlantısı kullanılır.";"Wenn Sie ""Über Internet teilen"" aktivieren, wird immer eine sichere WebDAV-Verbindung genutzt.";When you enable Share via Internet, a secure WebDAV connnection is always used.;When you enable Share via Internet, a secure WebDAV connnection is always used.
505018;You can view your RootCA and Webserver certificates on the;Sie können Ihre Root-CA- und Webserver-Zertifikate auf der;RootCA ve Webserver sertifikalarınızı;You can view your RootCA and Webserver certificates on the;You can view your RootCA and Webserver certificates on the;Usted puede ver su RootCA and Webserver certificates en el;You can view your RootCA and Webserver certificates on the;;Sie können Ihre Root-CA- und Webserver-Zertifikate auf der;You can view your RootCA and Webserver certificates on the;RootCA ve Webserver sertifikalarınızı;Sie können Ihre Root-CA- und Webserver-Zertifikate auf der;You can view your RootCA and Webserver certificates on the;You can view your RootCA and Webserver certificates on the
505019;Certificates page;Zertifikat-Seite;sertifikalar sayfasında;Certificates page;Certificates page;Página de certificados;Certificates page;;Zertifikat-Seite;Certificates page;sertifikalar sayfasında;Zertifikat-Seite;Certificates page;Certificates page
505020;in the Settings menu.;im Menu Einstellungen einsehen.;Ayarlar menüsünde görebilirsiniz.;in the Settings menu.;in the Settings menu.;en el menú Configuración.;in the Settings menu.;;im Menu Einstellungen einsehen.;in the Settings menu.;Ayarlar menüsünde görebilirsiniz.;im Menu Einstellungen einsehen.;in the Settings menu.;in the Settings menu.
505021;folder name;Ordner-Name;Klasör ismi;folder name;folder name;nombre de la carpeta;folder name;;Ordner-Name;folder name;Klasör ismi;Ordner-Name;folder name;folder name
505022;Folder Name to Display;Ordner-Name anzeigen;Klasör ismini göster;Folder Name to Display;Folder Name to Display;Nombre de la carpeta para mostrar;Folder Name to Display;;Ordner-Name anzeigen;Folder Name to Display;Klasör ismini göster;Ordner-Name anzeigen;Folder Name to Display;Folder Name to Display
505023;Port;Port;Port;Port;Port;Puerto;Port;;Port;Port;Port;Port;Port;Port
505024;WAN-IP;WAN-IP;WAN-IP;WAN-IP;WAN-IP;WAN-IP;WAN-IP;;WAN-IP;WAN-IP;WAN-IP;WAN-IP;WAN-IP;WAN-IP
505025;Share via Internet Port;Port für Teilen über das Internet;Internet üzerinden paylaşım;Share via Internet Port;Share via Internet Port;Compartir a través del puerto de Internet;Share via Internet Port;;Port für Teilen über das Internet;Share via Internet Port;Internet üzerinden paylaşım;Port für Teilen über das Internet;Share via Internet Port;Share via Internet Port
505026;Enable Device for Content Sharing via FTP;Gerät für gemeinsame Datennutzung über FTP aktivieren;FTP üzerinden veri paylaşımı için Aygıt etkinleştirin;Enable Device for Content Sharing via FTP;Enable Device for Content Sharing via FTP;Habilitar dispositivo para compartir contenido a través de FTP;Enable Device for Content Sharing via FTP;;Gerät für gemeinsame Datennutzung über FTP aktivieren;Enable Device for Content Sharing via FTP;FTP üzerinden veri paylaşımı için Aygıt etkinleştirin;Gerät für gemeinsame Datennutzung über FTP aktivieren;Enable Device for Content Sharing via FTP;Enable Device for Content Sharing via FTP
505027;Enable Device for Content Sharing via WebDAV;Gerät für gemeinsame Datennutzung über WebDAV aktivieren;WebDAV üzerinden veri paylaşımı için Aygıt etkinleştirin;Enable Device for Content Sharing via WebDAV;Enable Device for Content Sharing via WebDAV;Habilitar dispositivo para compartir contenido a través de WebDAV;Enable Device for Content Sharing via WebDAV;;Gerät für gemeinsame Datennutzung über WebDAV aktivieren;Enable Device for Content Sharing via WebDAV;WebDAV üzerinden veri paylaşımı için Aygıt etkinleştirin;Gerät für gemeinsame Datennutzung über WebDAV aktivieren;Enable Device for Content Sharing via WebDAV;Enable Device for Content Sharing via WebDAV
505028;You are using the same username for another device. The password of that username will automatically be applied.;Sie verwenden den gleichen Benutzername für ein anderes Gerät. Es wird automatisch das Kennwort des anderen Gerätes verwendet.;Farklı bir cihaz için aynı kullanıcı adını kullanın. Otomatik olarak diğer cihazın şifresini kullanır.;You are using the same username for another device. The password of that username will automatically be applied.;You are using the same username for another device. The password of that username will automatically be applied.;Está utilizando el mismo nombre de usuario para otro dispositivo. Se aplicará automáticamente la contraseña de ese usuario.;You are using the same username for another device. The password of that username will automatically be applied.;;Sie verwenden den gleichen Benutzername für ein anderes Gerät. Es wird automatisch das Kennwort des anderen Gerätes verwendet.;You are using the same username for another device. The password of that username will automatically be applied.;Farklı bir cihaz için aynı kullanıcı adını kullanın. Otomatik olarak diğer cihazın şifresini kullanır.;Sie verwenden den gleichen Benutzername für ein anderes Gerät. Es wird automatisch das Kennwort des anderen Gerätes verwendet.;You are using the same username for another device. The password of that username will automatically be applied.;You are using the same username for another device. The password of that username will automatically be applied.
505029;Using two different usernames may cause a problem on Windows.;"Mit zwei unterschiedlichen Benutzernamen 
können unter Windows Probleme auftreten. ";Iki farklı kullanıcı adları kullanarak Windows'da bir sorun neden olabilir.;Using two different usernames may cause a problem on Windows.;Using two different usernames may cause a problem on Windows.;El uso de dos nombres de usuario diferentes puede causar un problema en Windows.;Using two different usernames may cause a problem on Windows.;;"Mit zwei unterschiedlichen Benutzernamen 
können unter Windows Probleme auftreten. ";Using two different usernames may cause a problem on Windows.;Iki farklı kullanıcı adları kullanarak Windows bir sorun neden olabilir.;"Mit zwei unterschiedlichen Benutzernamen 
können unter Windows Probleme auftreten. ";Using two different usernames may cause a problem on Windows.;Using two different usernames may cause a problem on Windows.
505030;"It is possible to share the content of connected USB devices in your network using network shares (Samba).
";"Sie können die Inhalte von angeschlossenen USB-Geräten in Ihrem Netzwerk über Netzwerk-Freigaben (Samba) zur Verfügung stellen.
";Ağ paylaşımları ile ağınıza bağlı USB cihazın içeriğine (Samba) mevcuttur.;"It is possible to share the content of connected USB devices in your network using network shares (Samba).
";It is possible to share the content of connected USB devices in your network using network shares (Samba).;Es posible compartir el contenido de los dispositivos USB conectados en su red utilizando recursos compartidos de red (Samba).;"It is possible to share the content of connected USB devices in your network using network shares (Samba).
";;"Sie können die Inhalte von angeschlossenen USB-Geräten in Ihrem Netzwerk über Netzwerk-Freigaben (Samba) zur Verfügung stellen.
";"It is possible to share the content of connected USB devices in your network using network shares (Samba).
";Ağ paylaşımları ile ağınıza bağlı USB cihazın içeriğine (Samba) mevcuttur.;"Sie können die Inhalte von angeschlossenen USB-Geräten in Ihrem Netzwerk über Netzwerk-Freigaben (Samba) zur Verfügung stellen.
";"It is possible to share the content of connected USB devices in your network using network shares (Samba).
";"It is possible to share the content of connected USB devices in your network using network shares (Samba).
"
505031;"It is possible to share the content of connected USB devices in your network using WebDAV protocol.
";"Sie können die Inhalte von angeschlossenen USB-Geräten in Ihrem Netzwerk über das WebDAV-Protokoll zur Verfügung stellen.
";Ağ paylaşımları ile ağınıza bağlı USB cihazın içeriğine (WebDAV) mevcuttur.;"It is possible to share the content of connected USB devices in your network using WebDAV protocol.
";It is possible to share the content of connected USB devices in your network using WebDAV protocol.;Es posible compartir el contenido de los dispositivos USB conectados en la red utilizando el protocolo WebDAV.;"It is possible to share the content of connected USB devices in your network using WebDAV protocol.
";;"Sie können die Inhalte von angeschlossenen USB-Geräten in Ihrem Netzwerk über das WebDAV-Protokoll zur Verfügung stellen.
";"It is possible to share the content of connected USB devices in your network using WebDAV protocol.
";Ağ paylaşımları ile ağınıza bağlı USB cihazın içeriğine (WebDAV) mevcuttur.;"Sie können die Inhalte von angeschlossenen USB-Geräten in Ihrem Netzwerk über das WebDAV-Protokoll zur Verfügung stellen.
";"It is possible to share the content of connected USB devices in your network using WebDAV protocol.
";"It is possible to share the content of connected USB devices in your network using WebDAV protocol.
"
505032;"It is possible to share the content of connected USB devices in your network using FTP protocol.
";"Sie können die Inhalte von angeschlossenen USB-Geräten in Ihrem Netzwerk über das FTP-Protokoll zur Verfügung stellen.
";Ağ paylaşımları ile ağınıza bağlı USB cihazın içeriğine (FTP) mevcuttur.;"It is possible to share the content of connected USB devices in your network using FTP protocol.
";It is possible to share the content of connected USB devices in your network using FTP protocol.;Es posible compartir el contenido de los dispositivos USB conectados en la red utilizando el protocolo FTP.;"It is possible to share the content of connected USB devices in your network using FTP protocol.
";;"Sie können die Inhalte von angeschlossenen USB-Geräten in Ihrem Netzwerk über das FTP-Protokoll zur Verfügung stellen.
";"It is possible to share the content of connected USB devices in your network using FTP protocol.
";Ağ paylaşımları ile ağınıza bağlı USB cihazın içeriğine (FTP) mevcuttur.;"Sie können die Inhalte von angeschlossenen USB-Geräten in Ihrem Netzwerk über das FTP-Protokoll zur Verfügung stellen.
";"It is possible to share the content of connected USB devices in your network using FTP protocol.
";"It is possible to share the content of connected USB devices in your network using FTP protocol.
"
505033;Content sharing is currently disabled, so these options cannot be used. To enable this feature, switch it on in the {LINK_START}Content Sharing{LINK_END} page.;Netzwerk-Freigabe ist derzeit deaktiviert, daher kann diese Funktion nicht genutzt werden. Zur Freischaltung dieser Funktion klicken Sie auf {LINK_START}Netzwerk-Freigaben{LINK_END}.;"Content paylaşım şu anda devre dışı, bu seçenekler kullanılamaz böylece. Bu 
özelliği {LINK_START}Content Sharing{LINK_END} sayfasında değiştirebilirsiniz.";Content sharing is currently disabled, so these options cannot be used. To enable this feature, switch it on in the {LINK_START}Content Sharing{LINK_END} page.;Content sharing is currently disabled, so these options cannot be used. To enable this feature, switch it on in the {LINK_START}Content Sharing{LINK_END} page.;Intercambio de contenido está actualmente desactivado, por lo que estas opciones no se pueden utilizar. Para activar esta función, actívelo en la página LINK_START {} compartido de contenido LINK_END {}.;Content sharing is currently disabled, so these options cannot be used. To enable this feature, switch it on in the {LINK_START}Content Sharing{LINK_END} page.;;Netzwerk-Freigabe ist derzeit deaktiviert, daher kann diese Funktion nicht genutzt werden. Zur Freischaltung dieser Funktion klicken Sie auf {LINK_START}Netzwerk-Freigaben{LINK_END}.;Content sharing is currently disabled, so these options cannot be used. To enable this feature, switch it on in the {LINK_START}Content Sharing{LINK_END} page.;"Content paylaşım şu anda devre dışı, bu seçenekler kullanılamaz böylece. Bu 
özelliği {LINK_START}Content Sharing{LINK_END} sayfasında değiştirebilirsiniz.";Netzwerk-Freigabe ist derzeit deaktiviert, daher kann diese Funktion nicht genutzt werden. Zur Freischaltung dieser Funktion klicken Sie auf {LINK_START}Netzwerk-Freigaben{LINK_END}.;Content sharing is currently disabled, so these options cannot be used. To enable this feature, switch it on in the {LINK_START}Content Sharing{LINK_END} page.;Content sharing is currently disabled, so these options cannot be used. To enable this feature, switch it on in the {LINK_START}Content Sharing{LINK_END} page.
505034;Please enter your new password (4 - 64 characters).;Bitte geben Sie Ihr neues Kennwort ein (4-64 Zeichen);Lütfen yeni şifre kullanin (4 - 64 karakter);Please enter your new password (4 - 64 characters).;Please enter your new password (4 - 64 characters).;Introduzca su nueva contraseña (4-64 caracteres).;Please enter your new password (4 - 64 characters).;;Bitte geben Sie Ihr neues Kennwort ein (4-64 Zeichen);Please enter your new password (4 - 64 characters).;Lütfen yeni şifre kullanin (4 - 64 karakter);Bitte geben Sie Ihr neues Kennwort ein (4-64 Zeichen);Please enter your new password (4 - 64 characters).;Please enter your new password (4 - 64 characters).
505035;Illegal username for FTP service.;Ungültiger Benutzername für FTP-Service;FTP için yasadışı kullanıcı adı.;Illegal username for FTP service.;Illegal username for FTP service.;Nombre de usuario inválido para el servicio FTP.;Illegal username for FTP service.;;Ungültiger Benutzername für FTP-Service;Illegal username for FTP service.;FTP için yasadışı kullanıcı adı.;Ungültiger Benutzername für FTP-Service;Illegal username for FTP service.;Illegal username for FTP service.
505036;"Option ""Share via Internet"" is disabled since exposed host function is active.";"Die Option ""Über Internet teilen"" ist deaktiviert, da die Exposed-Host Funktion eingeschaltet ist.";İnternet üzerinden paylaşın harici NAT nedeniyle devre dışı bırakılır.;"Option ""Share via Internet"" is disabled since exposed host function is active.";"Option ""Share via Internet"" is disabled since exposed host function is active.";"La opción ""Compartir a través de Internet"" está desactivada ya que la función de host expuesto está activa.";"Option ""Share via Internet"" is disabled since exposed host function is active.";;"Die Option ""Über Internet teilen"" ist deaktiviert, da die Exposed-Host Funktion eingeschaltet ist.";"Option ""Share via Internet"" is disabled since exposed host function is active.";İnternet üzerinden paylaşın harici NAT nedeniyle devre dışı bırakılır.;"Die Option ""Über Internet teilen"" ist deaktiviert, da die Exposed-Host Funktion eingeschaltet ist.";"Option ""Share via Internet"" is disabled since exposed host function is active.";"Option ""Share via Internet"" is disabled since exposed host function is active."
505037;"The given username is already used on another USB device. Option ""Sharing via internet"" will be enabled for that device as well.";"Der angegebene Benutzername wird bereits für ein anderes USB-Gerät verwendet. Die Option ""Über Internet teilen"" wird auch für dieses Gerät aktiviert.";Başka bir cihaz için aynı kullanıcı adını kullanıyorsunuz. İnternet üzerinden paylaşma bu cihaz için etkin olacaktır.;"The given username is already used on another USB device. Option ""Sharing via internet"" will be enabled for that device as well.";"The given username is already used on another USB device. Option ""Sharing via internet"" will be enabled for that device as well.";"El nombre de usuario dado ya se utiliza en otro dispositivo USB. La opción ""Compartir a través de internet"" estará habilitado para ese dispositivo.";"The given username is already used on another USB device. Option ""Sharing via internet"" will be enabled for that device as well.";;"Der angegebene Benutzername wird bereits für ein anderes USB-Gerät verwendet. Die Option ""Über Internet teilen"" wird auch für dieses Gerät aktiviert.";"The given username is already used on another USB device. Option ""Sharing via internet"" will be enabled for that device as well.";Başka bir cihaz için aynı kullanıcı adını kullanıyorsunuz. İnternet üzerinden paylaşma bu cihaz için etkin olacaktır.;"Der angegebene Benutzername wird bereits für ein anderes USB-Gerät verwendet. Die Option ""Über Internet teilen"" wird auch für dieses Gerät aktiviert.";"The given username is already used on another USB device. Option ""Sharing via internet"" will be enabled for that device as well.";"The given username is already used on another USB device. Option ""Sharing via internet"" will be enabled for that device as well."
505038;%s1 is a parent folder of %s2. Please remove the child folder from the list and leave only the parent one.;%s1 ist ein Hauptverzeichnis von %s2. Bitte löschen Sie das Unterverzeichnis aus der Liste und belassen nur das Hauptverzeichnis.;%s1 %s2in üst klasördür. Listeden alt klasörü kaldırmak ve sadece bir üst klasör bırakın.;%s1 is a parent folder of %s2. Please remove the child folder from the list and leave only the parent one.;%s1 is a parent folder of %s2. Please remove the child folder from the list and leave only the parent one.;%s1 es una carpeta principal de %s2. Por favor, elimine la carpeta secundaria de la lista y deje sólo uno de los padres.;%s1 is a parent folder of %s2. Please remove the child folder from the list and leave only the parent one.;;%s1 ist ein Hauptverzeichnis von %s2. Bitte löschen Sie das Unterverzeichnis aus der Liste und belassen nur das Hauptverzeichnis.;%s1 is a parent folder of %s2. Please remove the child folder from the list and leave only the parent one.;%s1 %s2in üst klasördür. Listeden alt klasörü kaldırmak ve sadece bir üst klasör bırakın.;%s1 ist ein Hauptverzeichnis von %s2. Bitte löschen Sie das Unterverzeichnis aus der Liste und belassen nur das Hauptverzeichnis.;%s1 is a parent folder of %s2. Please remove the child folder from the list and leave only the parent one.;%s1 is a parent folder of %s2. Please remove the child folder from the list and leave only the parent one.
505039;NA;NA;NA;NA;Enable Device for Content Sharing via Network Share;Habilitar la compartición de contenido;NA;;NA;NA;NA;NA;NA;24 hours
505040;NA;NA;NA;NA;"Remember that this service is default disabled. 
We recommend you, for security reasons, to deactivate these services when you are not using them";Recuerde que este servicio está desactivado por defecto. Le recomendamos que por motivos de seguridad desactive estos servicios cuando no los utilice;NA;NA;NA;NA;NA;NA;NA;NA
506001;Energy Settings;Stromspar-Einstellungen;Enerji tüketimi ayarları;Energy Settings;Energy Settings;Configuración de energía;Energy Settings;;Stromspar-Einstellungen;Energy Settings;Enerji tüketimi ayarları;Stromspar-Einstellungen;Energy Settings;Energy Settings
506002;Save energy by switching off unneeded functionality of your EasyBox;Reduzieren Sie den Stromverbrauch der EasyBox durch Abschalten nicht genutzter Funktionen.;Kullanılmayan fonksiyonları kapatarak EasyBox cihazınızın elektrik tüketimini azaltınız.;Save energy by switching off unneeded functionality of your EasyBox;Save energy by switching off unneeded functionality of your router;Ahorra energía apagando características que no necesite del router;Save energy by switching off unneeded functionality of your EasyBox;;Reduzieren Sie den Stromverbrauch der EasyBox durch Abschalten nicht genutzter Funktionen.;Reduce power consumption by switching off unused functionality.;Kullanılmayan fonksiyonları kapatarak EasyBox cihazınızın elektrik tüketimini azaltınız.;Reduzieren Sie den Stromverbrauch der EasyBox durch Abschalten nicht genutzter Funktionen.;Reduce power consumption by switching off unused functionality.;Reduce power consumption by switching off unused functionality.
506003;USB Port;USB-Port;USB portu;USB Port;USB Port;Puerto USB;USB Port;;USB-Port;USB Port;USB portu;USB-Port;USB Port;USB Port
506004;LCD Screen;LCD-Anzeige;LCD ekran;LCD Screen;LCD Screen;Pantalla LCD;LCD Screen;;NA;NA;NA;NA;NA;NA
506005;On;Ein;Açık;On;On;Encendido;On;;Ein;On;Açık;Ein;On;On
506006;Standby (One Minute);Standby (1 Minute);Otomatik kapatma (1 dakika);Standby;Standby;Modo de espera;Standby;;Standby (1 Minute);Standby (One Minute);Otomatik kapatma (1 dakika);Standby (1 Minute);Standby (One Minute);Standby (One Minute)
506007;Off;Aus;Kapalı;Off;Off;Apagado;Off;;Aus;Off;Kapalı;Aus;Off;Off
506008;NA;NA;NA;LCD Screen intensity;LCD Screen intensity;Intensidad de la pantalla LCD;LCD Screen intensity;;NA;NA;NA;NA;NA;NA
506009;NA;NA;NA;Power LED;Power LED;LED Power;LEDs;;NA;NA;NA;NA;NA;NA
506010;NA;NA;NA;Activate Standby in;Activate Standby in;Activar modo de espera en;Activate Standby in;;NA;NA;NA;NA;NA;NA
506011;NA;NA;NA;NA;NA;NA;Intensity;;NA;NA;NA;NA;NA;NA
506012;NA;NA;NA;NA;NA;NA;low;;NA;NA;NA;NA;NA;NA
506013;NA;NA;NA;NA;NA;NA;medium;;NA;NA;NA;NA;NA;NA
506014;NA;NA;NA;NA;NA;NA;high;;NA;NA;NA;NA;NA;NA
506015;Eco-Mode;Eco-Mode;Eco-Modu;;NA;NA;NA;NA;Power-LED Helligkeit;Power-LED Brightness;Power-LED parlaklığı;Power-LED Helligkeit;Power-LED Brightness;Power-LED Brightness
